,Link,title,company,salary,date,location
64,https://www.indeed.com/rc/clk?jk=8e0e9fb59e197f54&fccid=e20c9dc5e88f0a63&vjs=3,Data Scientist,MEDSTAR HEALTH,N/A,16 days ago,"Washington, DC 20008 (Cleveland Park area)"
65,https://www.indeed.com/rc/clk?jk=37a1cf43ea0fcfae&fccid=f7b4fcc3fc83b5ad&vjs=3,Data Scientist,Colsh Consultants,N/A,30+ days ago,"Santa Clara, CA"
66,https://www.indeed.com/rc/clk?jk=bf93eca150a1f42c&fccid=04a37cb60fd02dd3&vjs=3,Data Scientist - Security,Snowflake,N/A,8 days ago,"San Mateo, CA 94401 (Central Business District area)"
67,https://www.indeed.com/rc/clk?jk=9eaaa785c32a05c1&fccid=6ac64d54cee20c66&vjs=3,Data Scientist (Demolition Department),City of Detroit,N/A,3 days ago,"Detroit, MI 48226 (Downtown area)"
68,https://www.indeed.com/rc/clk?jk=403a455bcbe133bd&fccid=fa1b77b817c69294&vjs=3,data scientist,Qikspace,N/A,30+ days ago,"Seattle, WA 98104"
69,https://www.indeed.com/rc/clk?jk=57eb995085d4b3b7&fccid=d2536e400fa1f147&vjs=3,Data Scientist,Corteva Agriscience,N/A,3 days ago,"Johnston, IA 50131"
70,https://www.indeed.com/rc/clk?jk=f646a23b13381be8&fccid=004c7a087ec4c94b&vjs=3,Applied Scientist Internship (Mineral Exploration),Descartes Labs,N/A,4 days ago,Remote
71,https://www.indeed.com/rc/clk?jk=11d0e53098f06688&fccid=be78c43e20f71cf5&vjs=3,Data Science & Analytics,Digital Trike,N/A,30+ days ago,"South Jordan, UT 84095"
72,https://www.indeed.com/rc/clk?jk=c08cddb662170f24&fccid=1c06920c338c6e1e&vjs=3,Data Scientist,Paychex Inc.,N/A,4 days ago,"Rochester, NY 14623"
73,https://www.indeed.com/rc/clk?jk=572d22457ad01066&fccid=932bcab1f7ee18f8&vjs=3,Data Scientist,Govini,N/A,Today,"Pittsburgh, PA"
74,https://www.indeed.com/rc/clk?jk=437df060ef9bfcf6&fccid=de71a49b535e21cb&vjs=3,Data Scientist IBM Tech Re-Entry,IBM,N/A,5 days ago,"Armonk, NY"
75,https://www.indeed.com/rc/clk?jk=c06c1b3b047d80c6&fccid=b9ca7ec1464dfa21&vjs=3,Data Scientist II,Homesite Insurance,"Up to $124,000 a year",10 days ago,"Boston, MA"
76,https://www.indeed.com/rc/clk?jk=a9944e5669d017b8&fccid=73ceef0a2153d2b8&vjs=3,Product Data Scientist,Waymo,N/A,30+ days ago,"Mountain View, CA"
77,https://www.indeed.com/rc/clk?jk=892dacf78087329b&fccid=0e5bd28881a96a2d&vjs=3,Data Scientist,Albertsons Companies,N/A,3 days ago,"Pleasanton, CA 94588"
78,https://www.indeed.com/rc/clk?jk=f07fd1d560949463&fccid=734cb5a01ee60f80&vjs=3,Data Scientist,Microsoft,N/A,30+ days ago,"Redmond, WA 98052 (Overlake area)"
79,https://www.indeed.com/rc/clk?jk=94f1d7770040bfb0&fccid=c68f858ef73a0c44&vjs=3,Data Scientist - Experimentation,Getty Images,N/A,4 days ago,"Seattle, WA 98103 (Fremont area)"
80,https://www.indeed.com/rc/clk?jk=9963dd4f8d878884&fccid=cc6e623ce335957a&vjs=3,Senior Data Scientist,Universal Music Group,N/A,4 days ago,"Santa Monica, CA 90404 (Mid-City area)"
81,https://www.indeed.com/rc/clk?jk=c4203bad2485d469&fccid=db52f1353185d77b&vjs=3,Data Scientist (6256U) 16096,University of California Berkeley,N/A,17 days ago,"Berkeley, CA 94720"
82,https://www.indeed.com/rc/clk?jk=ba9199b8197c3be6&fccid=ebaa8a50df7c2d2f&vjs=3,Data Scientist,Amobee,N/A,24 days ago,"Baltimore, MD"
83,https://www.indeed.com/rc/clk?jk=f8da60903b7cd2f9&fccid=9a4f13cfc6042a6a&vjs=3,Data Scientist,ANALYTOS,N/A,30+ days ago,"Austin, TX"
84,https://www.indeed.com/rc/clk?jk=a920ef623faad307&fccid=86e9be6ce380173e&vjs=3,"Data Scientist, Reliability Engineering",Tesla,N/A,11 days ago,"Palo Alto, CA"
85,https://www.indeed.com/rc/clk?jk=46d3bd6b785900a0&fccid=11caadcdc98800d4&vjs=3,Data Scientist - REMOTE,General Dynamics Information Technology,N/A,30+ days ago,"Ridgecrest, CA"
86,https://www.indeed.com/rc/clk?jk=3a58288f01be1ab2&fccid=5b4ea6c0422a3b24&vjs=3,"Data Scientist, Intern",Moveworks.ai,N/A,9 days ago,"Mountain View, CA"
87,https://www.indeed.com/rc/clk?jk=40e4bd36fc59bd97&fccid=12626f295bf6a003&vjs=3,Junior Data Scientist (NASA),Logistics Management Institute,N/A,10 days ago,"Washington, DC"
88,https://www.indeed.com/rc/clk?jk=af91cc07751286ae&fccid=facc18fe475dac15&vjs=3,Data Scientist - Two Sigma Insurance Quantified,"Two Sigma Investments, LLC.",N/A,2 days ago,"New York, NY"
89,https://www.indeed.com/rc/clk?jk=e5360f819c617abd&fccid=8288755c1d73f5f0&vjs=3,Data Scientist,Liquidnet,N/A,30+ days ago,"New York, NY"
90,https://www.indeed.com/rc/clk?jk=aed4726623233781&fccid=9518af008fd804f9&vjs=3,"Data Scientist-Draper, UT",PFS-Prestige Financial Services,N/A,22 days ago,"Draper, UT 84020"
91,https://www.indeed.com/rc/clk?jk=1da5a3683f99b580&fccid=d9162e48c444e6e3&vjs=3,Data Scientist,Colgate-Palmolive,N/A,30+ days ago,"Piscataway, NJ 08854"
92,https://www.indeed.com/rc/clk?jk=0fd227aed8d9cd14&fccid=cbfa56f19cc95796&vjs=3,Data Scientist/Integrator (Part-Time),KBR,N/A,30+ days ago,"Lexington Park, MD"
93,https://www.indeed.com/rc/clk?jk=7c77ea2aedef6026&fccid=5de9d247fbec65f0&vjs=3,Data Scientist,Supplyframe,N/A,30+ days ago,"Los Angeles, CA"
94,https://www.indeed.com/rc/clk?jk=a0538033ccaf34ba&fccid=e2f8d6934fd95c43&vjs=3,Data Scientist,Logic20/20,N/A,8 days ago,"Seattle, WA 98134 (Industrial District area)"
95,https://www.indeed.com/rc/clk?jk=fa1ea0c528b8e97e&fccid=2dc2f35c3405a529&vjs=3,Production Data Associate Scientist,Cepheid,N/A,14 days ago,"Sunnyvale, CA 94089 (Lakewood area)"
96,https://www.indeed.com/rc/clk?jk=af5a080e6f2f755b&fccid=f368300325e8e8bc&vjs=3,"Data Scientist, Revenue",Snapchat,N/A,30+ days ago,"Los Angeles, CA 90291 (Venice area)"
97,https://www.indeed.com/rc/clk?jk=f3424d565012e52a&fccid=82c5e27e77990fa2&vjs=3,Engineer I - Data Scientist,Ball Aerospace,"$76,000 - $94,500 a year",30+ days ago,"Westminster, CO 80021"
98,https://www.indeed.com/rc/clk?jk=f808a215aeddb10c&fccid=734cb5a01ee60f80&vjs=3,Data & Applied Scientist,Microsoft,N/A,28 days ago,"Bellevue, WA"
99,https://www.indeed.com/rc/clk?jk=7c289abdbc00464d&fccid=a575b7c5c50b587a&vjs=3,Data Scientist,"Amplify Education, Inc.",N/A,30+ days ago,United States
100,https://www.indeed.com/rc/clk?jk=648871521a216d32&fccid=34c446722f3cf576&vjs=3,Data Scientist Intern,Equifax,N/A,8 days ago,"Boise, ID 83702 (Harrison Blvd area)"
101,https://www.indeed.com/rc/clk?jk=5edd772dd1f3b45b&fccid=30041c1e8bdd166d&vjs=3,Data Scientist,"LG Energy Solution Michigan, Inc.",N/A,25 days ago,"San Jose, CA 95131 (North Valley area)"
102,https://www.indeed.com/rc/clk?jk=f66754397bbe9873&fccid=71147e0539a0a1b7&vjs=3,Data Scientist,Activision,N/A,30+ days ago,"Foster City, CA"
103,https://www.indeed.com/rc/clk?jk=806a8d472415e964&fccid=d554da215b63feb0&vjs=3,Data Science Fellowship,Boys & Girls Clubs of Southeastern Michigan,"$116,100 a year",Today,"Detroit, MI 48228"
104,https://www.indeed.com/rc/clk?jk=be2b3bca63534f35&fccid=2a4da7fa99f4b9ae&vjs=3,Data Scientist Sr,Anthem,N/A,5 days ago,"Atlanta, GA"
105,https://www.indeed.com/rc/clk?jk=7ca14247d6b3052e&fccid=e9e363d6332bc1cd&vjs=3,Data Scientist/Machine Learning/AI,Juniper Networks,N/A,Today,"Cupertino, CA"
106,https://www.indeed.com/rc/clk?jk=d3c27c70bf22d32e&fccid=0773ac3d4e33a966&vjs=3,Data Scientist,QuaEra,N/A,30+ days ago,"New York, NY 10018 (Garment District area)"
107,https://www.indeed.com/rc/clk?jk=2adafb489c309e34&fccid=7cb896537f21d8e3&vjs=3,Data Scientist,Union Bank,N/A,3 days ago,"Irvine, CA"
108,https://www.indeed.com/rc/clk?jk=9007db6de54c1a66&fccid=43b738b79a346b37&vjs=3,"Intern, Data Science",Scaled Agile,$18 - $25 an hour,7 days ago,"Boulder, CO 80301"
109,https://www.indeed.com/rc/clk?jk=5e3c14336da5eb86&fccid=04ef150429d33336&vjs=3,Data Scientist - Game Engine,Roblox,N/A,30+ days ago,"San Mateo, CA"
110,https://www.indeed.com/rc/clk?jk=a6c6cd07f66f3702&fccid=e08122e0e993cc32&vjs=3,Data Scientist (Expert) - Data & Analytics - IT - CS - US,Bayer,N/A,8 days ago,"Creve Coeur, MO 63141"
111,https://www.indeed.com/rc/clk?jk=f5dd332cb60a37ba&fccid=37e886222e0cbb3a&vjs=3,Data Scientist,Unilever,N/A,1 day ago,"Trumbull, CT 06611"
112,https://www.indeed.com/rc/clk?jk=82dc473bdbe44fbe&fccid=c1099851e9794854&vjs=3,Data Scientist - Media Technologies,Apple,N/A,7 days ago,"Santa Clara Valley, CA 95014"
113,https://www.indeed.com/rc/clk?jk=d7dffcf92ad51c8f&fccid=48ecd526e3aa3225&vjs=3,"Data Scientist, Economics",Kaiser Permanente,N/A,30+ days ago,"Oakland, CA"
114,https://www.indeed.com/rc/clk?jk=a3286545dd207582&fccid=30389e15a5e8b093&vjs=3,Data Scientist,Abiomed,N/A,14 days ago,"Danvers, MA 01923"
115,https://www.indeed.com/rc/clk?jk=c9f78b7db81cf371&fccid=25b5166547bbf543&vjs=3,Senior-Data Scientist,AT&T,N/A,10 days ago,"Plano, TX"
116,https://www.indeed.com/rc/clk?jk=73616110dd5c823a&fccid=5ece327da33e0274&vjs=3,Data Scientist I,Centene Corporation,N/A,3 days ago,"Clayton, MO"
117,https://www.indeed.com/rc/clk?jk=88e4fb38469cc6bc&fccid=04ef150429d33336&vjs=3,Data Scientist - International Growth,Roblox,N/A,1 day ago,"San Mateo, CA"
118,https://www.indeed.com/rc/clk?jk=986288c617706c98&fccid=761c44c17d636bfe&vjs=3,Data Scientist/Data Engineer,Ford Motor Company,N/A,18 days ago,"Dearborn, MI"
119,https://www.indeed.com/rc/clk?jk=0ca1747d28accbe7&fccid=324ef2bf5e6f2144&vjs=3,Data Scientist,Schweitzer Engineering Laboratories,N/A,30+ days ago,"Pullman, WA"
120,https://www.indeed.com/rc/clk?jk=16fadfc51535075e&fccid=0c354a10048ca5f9&vjs=3,Data Analyst/Data Scientist Engineer (Portland / Remote) — C...,Kin + Carta,"$65,000 - $160,000 a year",30+ days ago,"Portland, OR"
121,https://www.indeed.com/rc/clk?jk=5f9a4c68f700268b&fccid=06a2f24b665ecc28&vjs=3,Data Scientist,Snap Finance,N/A,30+ days ago,"Salt Lake City, UT"
122,https://www.indeed.com/rc/clk?jk=b46ef80288c88598&fccid=2b6243d317042ea1&vjs=3,"Senior Data Scientist, Artificial Intelligence Research","DUFF AND PHELPS, LLC",N/A,2 days ago,"Nashville, TN"
123,https://www.indeed.com/rc/clk?jk=ffc2f1b256989cc6&fccid=2dab8b7094b20f60&vjs=3,DATA SCIENTIST,CIITS,N/A,30+ days ago,"Boca Raton, FL"
124,https://www.indeed.com/rc/clk?jk=568ace32134849c1&fccid=105ecfd0283f415f&vjs=3,Data Engineer,Capgemini,N/A,1 day ago,"Irvine, CA"
125,https://www.indeed.com/rc/clk?jk=a16b4cadcb1a1470&fccid=ff230eb38ad411b5&vjs=3,Data Scientist - Deep Learning,Verb Surgical,N/A,30+ days ago,"Mountain View, CA 94043"
126,https://www.indeed.com/rc/clk?jk=f9828b7c0ebcc8a3&fccid=86e9be6ce380173e&vjs=3,Energy - EV Infrastructure Data Scientist Internship (Summer...,Tesla,N/A,30+ days ago,"Palo Alto, CA"
127,https://www.indeed.com/rc/clk?jk=7078a1a6fe31c230&fccid=a7626cbc3cfa3f9c&vjs=3,Data Scientist,ISE Data Systems,N/A,30+ days ago,"Reston, VA"
128,https://www.indeed.com/company/OpenMail-LLC/jobs/Senior-Data-Scientist-f2b8a5dfbafb93da?fccid=96f9f0750334d953&vjs=3,Senior Data Scientist,System1,N/A,Today,"Seattle, WA"
129,https://www.indeed.com/rc/clk?jk=22fb31c1bf81acc8&fccid=9f473afc37a46f1c&vjs=3,Data Scientist,Tactegra,N/A,23 days ago,"Charlotte, NC"
130,https://www.indeed.com/rc/clk?jk=4437ae915552eceb&fccid=4514e98bb41669d2&vjs=3,"Data Scientist, Operations",Convoy,N/A,18 days ago,"Seattle, WA"
131,https://www.indeed.com/rc/clk?jk=ae8b543e6b488e73&fccid=2152cf83e9c8d7cd&vjs=3,Data Scientist,J.Crew,N/A,9 days ago,"New York, NY 10281 (Battery Park area)"
132,https://www.indeed.com/rc/clk?jk=d0c89302bc5c09b4&fccid=77601b85fd92fe13&vjs=3,Data Scientist II,Brownells Inc.,N/A,1 day ago,"Grinnell, IA 50112"
133,https://www.indeed.com/rc/clk?jk=d5e769ec10b832f8&fccid=a5c6d0c70967ab14&vjs=3,Safety Data Scientist (Remote) - Signal Detection,ClinChoice Inc,N/A,2 days ago,"Fort Washington, PA 19034"
134,https://www.indeed.com/rc/clk?jk=c849ebf38f71614d&fccid=9c0bda844a6f59de&vjs=3,Data Scientist,SeamlessWorld Consulting,N/A,30+ days ago,"East Brunswick, NJ"
135,https://www.indeed.com/rc/clk?jk=939e3d16c5265b97&fccid=69c7d55b78dc7424&vjs=3,Sr. Data Scientist,Proofpoint,N/A,4 days ago,"Sunnyvale, CA 94085"
136,https://www.indeed.com/rc/clk?jk=8d4f1933511299b1&fccid=884322dceb87d4a4&vjs=3,Data Scientist,Medium,N/A,30+ days ago,"New York, NY"
